id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4,score_c09,plif_c09,SC2_c09,SC4_c09
80,O=S(=O)(NC1CCN2CCCC[C@H]2C1)c1ccnc2ccccc12,-5.508,0.0,-5.5397172,0.2281239015456666,5.508,5.5397172,5.508,6.224088904637,-5.925,0.27023158120058327,5.925,6.73569474360175
81,O=S(=O)(NC1CCNCC1)c1ccnc2ccccc12,-4.913,0.0012425148500565,-5.0367287,0.2062310977351334,4.913,5.0367287,4.91672754455017,5.655421993205401,-4.911,0.3547968480340348,4.911,5.975390544102104
82,O=S(=O)(NC1CN2CCC1CC2)c1ccnc2ccccc12,-5.257,0.0,-5.226563400000001,0.2380954380951442,5.257,5.226563400000001,5.257,5.9408497142854335,-5.14,0.27023158120058327,5.14,5.950694743601749
83,O=S(=O)(NC1CNC1)c1ccnc2ccccc12,-5.106,0.0,-4.8970706,0.2434600896934646,5.106,4.8970706,5.106,5.627450869080394,-4.923,0.21318880808891047,4.923,5.562566424266731
84,O=S(=O)(NCCC1CCNCC1)c1ccnc2ccccc12,-4.615,0.0,-5.0006795,0.1797265570868798,4.615,5.0006795,4.615,5.539859171260639,-5.315,0.2560771669766011,5.315,6.083231500929804
85,O=S(=O)(NCCCCN1CCCCCCC1)c1ccnc2ccccc12,-3.381,0.0,-3.4679352000000003,0.219096082941006,3.381,3.4679352000000003,3.381,4.125223448823019,-3.795,0.29562759664540444,3.795,4.681882789936213
86,O=S(=O)(NCCCCN1CCOCC1)c1ccnc2ccccc12,-4.822,0.2687367410049923,-4.8457884,0.1886209909298071,4.822,4.8457884,5.628210223014976,5.4116513727894215,-5.192,0.3547968480340348,5.192,6.256390544102104
87,O=S(=O)(NCCCN1CCCCC1)c1ccnc2ccccc12,-4.863,0.2131888080889104,-4.7638059,0.2376617745799181,4.863,4.7638059,5.502566424266732,5.476791223739755,-5.156,0.2560771669766011,5.156,5.924231500929803
88,O=S(=O)(NCCN1CCCC1)c1ccnc2ccccc12,-4.732,0.0,-4.743265999999999,0.1745904949019102,4.732,4.743265999999999,4.732,5.26703748470573,-4.622,0.40959426691584166,4.622,5.850782800747525
89,O=S(=O)(NC[C@H]1CCCN1)c1ccnc2ccccc12,-4.841,0.0,-5.1501248,0.1636126546762029,4.841,5.1501248,4.841,5.640962764028609,-5.295,0.34064243381005255,5.295,6.316927301430157
90,O=S(=O)(N[C@@H]1C2CNC[C@@H]1C2)c1ccnc2ccccc12,-5.368,0.0,-5.1471581,0.2536133291076388,5.368,5.1471581,5.368,5.907998087322916,-5.18,0.184734427849939,5.18,5.7342032835498165
91,O=S(=O)(Nc1cccc2ncccc12)N1CCNCC1,-5.046,0.0,-5.0280754,0.1910173946607541,5.046,5.0280754,5.046,5.601127583982262,-5.344,0.20202222761670557,5.344,5.950066682850117
92,O=S(=O)(Nc1ccnc2ccccc12)C1CCNCC1,-5.168,0.0,-5.006467600000001,0.2167561945145355,5.168,5.006467600000001,5.168,5.656736183543607,-5.125,0.38827698321369214,5.125,6.289830949641076
93,O=S(=O)(c1c(F)ccc2cnccc12)N1CCCNCC1,-4.013,0.0011503039028698,-3.6377517999999993,0.2546141827902028,4.013,3.6377517999999993,4.01645091170861,4.401594348370608,-3.842,0.27990332147719715,3.842,4.681709964431592
94,O=S(=O)(c1c(F)ccc2ncccc12)N1CCCNCC1,-3.887,0.0379007730049587,-3.6848199,0.1912250856889324,3.887,3.6848199,4.000702319014876,4.258495157066798,-3.901,0.32830864750490374,3.901,4.885925942514711
95,O=S(=O)(c1cc(Cl)cc2ncccc12)N1CCCNCC1,-3.77,0.0,-3.5659497,0.2869200419912194,3.77,3.5659497,3.77,4.426709825973658,-3.722,0.009220284626177593,3.722,3.7496608538785328
96,O=S(=O)(c1cc(Cl)nc2ccccc12)N1CCNCC1,-4.973,0.0,-4.81671,0.2751807469199325,4.973,4.81671,4.973,5.642252240759797,-4.9,0.3547968480340348,4.9,5.964390544102105
97,O=S(=O)(c1cc(F)cc(F)c1)N1CCCNCC1,-3.788,0.0,-3.2299638,0.2761322363926626,3.788,3.2299638,3.788,4.058360509177987,-3.372,0.23834472016708558,3.372,4.087034160501257
98,O=S(=O)(c1cc(F)cc2ncccc12)N1CCCNCC1,-3.636,0.0,-3.6737536,0.2176532926577521,3.636,3.6737536,3.636,4.326713477973256,-3.985,0.25082893789750677,3.985,4.73748681369252
99,O=S(=O)(c1cc(F)nc2ccccc12)N1CCNCC1,-4.947,0.0013507978422093,-4.9257329,0.276148028457033,4.947,4.9257329,4.951052393526628,5.754176985371099,-5.166,0.31196812207515406,5.166,6.101904366225463
100,O=S(=O)(c1cc2cc(Cl)ccc2o1)N1CCCNCC1,-3.977,0.0140047234350353,-3.5769314,0.2459485019018229,3.977,3.5769314,4.019014170305106,4.314776905705469,-3.855,0.21318880808891053,3.855,4.494566424266732
101,O=S(=O)(c1cc2ccccc2cn1)N1CCCNCC1,-3.712,0.0119260540123342,-3.6277821,0.2721220109339947,3.712,3.6277821,3.7477781620370023,4.444148132801984,-3.918,0.34962646355051424,3.918,4.966879390651543
102,O=S(=O)(c1cc2ccccc2s1)N1CCNCC1,-5.095,0.0,-4.784188800000001,0.2585175748716157,5.095,4.784188800000001,5.095,5.559741524614848,-4.902,0.3119681220751541,4.902,5.837904366225462
