condition,seed,pose_rank,energy,hit,com_dist_to_site
A_blind,19,13,-2.857,0,94.88041952373402
A_blind,19,14,-2.853,1,11.978494939010599
A_blind,19,15,-2.838,0,92.87135901090726
A_blind,19,16,-2.832,0,130.7784450106043
A_blind,19,17,-2.764,1,9.784750648142598
A_blind,19,18,-2.732,0,89.90624390572657
A_blind,19,19,-2.725,0,74.77891051639989
A_blind,19,20,-2.705,1,12.65595169271727
A_blind,20,1,-3.445,0,134.85494495921003
A_blind,20,2,-3.031,0,134.42795124402164
A_blind,20,3,-2.966,0,134.85652040966804
A_blind,20,4,-2.861,0,133.97034127026032
A_blind,20,5,-2.854,0,133.5098874814896
A_blind,20,6,-2.836,0,134.46978013767213
A_blind,20,7,-2.789,0,93.36163659423967
A_blind,20,8,-2.754,0,135.29308782721088
A_blind,20,9,-2.729,0,115.42087264519719
A_blind,20,10,-2.716,0,97.41854322795074
A_blind,20,11,-2.683,0,135.24995054674312
A_blind,20,12,-2.638,0,61.608266372610075
A_blind,20,13,-2.617,0,138.31571224737655
A_blind,20,14,-2.529,0,125.10408962279199
A_blind,20,15,-2.467,0,117.57893999702269
A_blind,20,16,-2.441,0,141.27243291121363
A_blind,20,17,-2.428,0,112.06261900637494
A_blind,20,18,-2.354,0,60.72206133988523
A_blind,20,19,-2.325,0,141.654532719964
A_blind,20,20,-2.275,0,39.75464998165225
A_blind,21,1,-3.639,0,136.42984694794907
A_blind,21,2,-3.39,0,134.48140448360397
A_blind,21,3,-3.175,0,66.41992760167712
A_blind,21,4,-3.087,0,139.68542139055256
A_blind,21,5,-3.051,0,139.56430676575326
A_blind,21,6,-3.008,0,135.62992310484213
A_blind,21,7,-2.961,0,67.60429247387853
A_blind,21,8,-2.862,0,141.57718855038667
A_blind,21,9,-2.811,0,78.64305030134693
A_blind,21,10,-2.79,0,139.8414239881918
A_blind,21,11,-2.766,0,136.17864131845087
A_blind,21,12,-2.753,0,60.58865501451077
A_blind,21,13,-2.695,0,114.08722511890508
A_blind,21,14,-2.638,0,136.63913514229998
A_blind,21,15,-2.637,0,137.01694530947822
A_blind,21,16,-2.507,0,117.97293447721121
A_blind,21,17,-2.439,0,135.45588255438713
A_blind,21,18,-2.395,0,142.74475251888646
A_blind,21,19,-2.334,0,98.6405453925863
A_blind,21,20,-2.286,0,62.27702141586636
A_blind,22,1,-3.255,0,143.79270363738058
A_blind,22,2,-3.109,0,124.06936952431462
A_blind,22,3,-2.987,0,34.27903369541459
A_blind,22,4,-2.969,0,51.672653518494045
A_blind,22,5,-2.914,0,106.9569013731972
A_blind,22,6,-2.803,0,39.376053949895216
A_blind,22,7,-2.653,0,136.56690801831013
A_blind,22,8,-2.647,0,109.44829759346287
A_blind,22,9,-2.574,0,97.76406857829652
A_blind,22,10,-2.538,1,10.460849865153685
A_blind,22,11,-2.499,0,33.28378153632631
A_blind,22,12,-2.488,0,40.19372050941402
A_blind,22,13,-2.459,0,97.96976995174151
A_blind,22,14,-2.447,0,21.07299650852377
A_blind,22,15,-2.415,0,108.06421664341022
A_blind,22,16,-2.396,0,32.110844379217546
A_blind,22,17,-2.39,0,106.98656612840752
A_blind,22,18,-2.378,0,107.48858531315655
A_blind,22,19,-2.375,0,18.261768708574575
A_blind,22,20,-2.266,0,81.33706456416446
A_blind,23,1,-3.29,0,139.755467880969
A_blind,23,2,-2.876,0,121.81742704378246
A_blind,23,3,-2.707,0,28.38684345155377
A_blind,23,4,-2.621,0,39.75041320096989
A_blind,23,5,-2.544,0,121.8680133387485
A_blind,23,6,-2.537,0,142.33051166092818
A_blind,23,7,-2.363,0,122.88074584361496
A_blind,23,8,-2.362,0,133.00051555553068
A_blind,23,9,-2.279,0,39.634543718719556
A_blind,23,10,-2.272,0,116.89851980192317
A_blind,23,11,-2.247,0,125.30693280444581
A_blind,23,12,-2.237,0,40.8472754094795
A_blind,23,13,-2.202,0,123.91854670459365
A_blind,23,14,-2.186,0,39.967027076708156
A_blind,23,15,-2.099,0,40.79558017362834
A_blind,23,16,-2.047,0,66.79254688990167
A_blind,23,17,-2.022,0,146.99810578505327
A_blind,23,18,-2.012,0,121.23390059801683
A_blind,23,19,-1.983,0,144.11601174785264
A_blind,23,20,-1.877,0,141.57723399314074
A_blind,24,1,-3.669,0,137.81171954493666
A_blind,24,2,-3.401,0,140.74331600221257
A_blind,24,3,-3.301,0,136.70771313729813
A_blind,24,4,-3.153,0,137.8602569731799
A_blind,24,5,-3.061,0,137.98678624262774
A_blind,24,6,-2.782,0,134.67977241673776
A_blind,24,7,-2.775,0,133.78107952587277
A_blind,24,8,-2.768,0,137.87318473186582
A_blind,24,9,-2.643,0,127.0585608242994
A_blind,24,10,-2.544,0,102.69985531006913
A_blind,24,11,-2.514,0,116.54985739120802
A_blind,24,12,-2.467,0,140.38917577624485
A_blind,24,13,-2.421,0,102.56669956973971
A_blind,24,14,-2.298,1,10.779434001483208
A_blind,24,15,-2.28,1,12.022871136696264
A_blind,24,16,-2.265,0,112.58711779858875
A_blind,24,17,-2.258,0,143.8593179650461
A_blind,24,18,-2.226,1,10.51622476678305
A_blind,24,19,-2.182,0,146.28339687183242
A_blind,24,20,-2.08,0,88.90842850511078
A_blind,25,1,-3.085,0,27.19493601534223
A_blind,25,2,-2.876,0,39.51703309222005
A_blind,25,3,-2.741,0,65.25029892962496
A_blind,25,4,-2.645,0,122.35730475741562
A_blind,25,5,-2.576,0,53.285893269553114
A_blind,25,6,-2.486,0,36.74777588817767
A_blind,25,7,-2.465,0,17.431437963015217
A_blind,25,8,-2.465,0,15.890454171957852
A_blind,25,9,-2.396,0,124.42218867319617
A_blind,25,10,-2.386,0,13.25711718757568
A_blind,25,11,-2.302,0,65.73422407857706
A_blind,25,12,-2.288,0,18.27659754702106
A_blind,25,13,-2.228,0,62.73739027941308
A_blind,25,14,-2.203,0,59.997672344913695
A_blind,25,15,-2.119,0,146.45736487433587
A_blind,25,16,-2.096,0,144.57174095998218
A_blind,25,17,-2.069,0,29.679687804117943
A_blind,25,18,-1.983,1,10.981278268563107
A_blind,25,19,-1.96,0,36.16498587931821
A_blind,25,20,-1.871,0,30.220345283081997
A_blind,26,1,-3.621,0,136.70889155067758
A_blind,26,2,-3.551,0,137.84229494152984
A_blind,26,3,-3.458,0,137.75751787728757
A_blind,26,4,-3.455,0,53.00114471306338
A_blind,26,5,-3.439,0,135.82853820010325
A_blind,26,6,-3.432,0,27.6551213873827
A_blind,26,7,-3.283,0,28.12555244180628
A_blind,26,8,-3.273,0,134.69899311198796
A_blind,26,9,-3.09,0,110.52739497263296
A_blind,26,10,-2.966,0,134.14496270742825
A_blind,26,11,-2.815,0,130.47035338911476
A_blind,26,12,-2.785,0,52.05735904570196
A_blind,26,13,-2.779,0,95.85930207465589
A_blind,26,14,-2.745,0,97.66486139032979
A_blind,26,15,-2.612,0,27.208451325007086
A_blind,26,16,-2.537,0,76.94972288278927
A_blind,26,17,-2.512,0,22.456350867697957
A_blind,26,18,-2.417,0,97.7550740403523
A_blind,26,19,-2.341,0,94.8505522926506
