id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4
81,O=S(=O)(NC1CCNCC1)c1ccnc2ccccc12,-4.913,0.0012425148500565144,-5.0367287,0.20623109773513348,4.913,5.0367287,4.91672754455017,5.655421993205401
82,O=S(=O)(NC1CN2CCC1CC2)c1ccnc2ccccc12,-5.257,0.0,-5.226563400000001,0.23809543809514422,5.257,5.226563400000001,5.257,5.9408497142854335
83,O=S(=O)(NC1CNC1)c1ccnc2ccccc12,-5.106,0.0,-4.8970706,0.24346008969346467,5.106,4.8970706,5.106,5.627450869080394
84,O=S(=O)(NCCC1CCNCC1)c1ccnc2ccccc12,-4.615,0.0,-5.0006794999999995,0.17972655708687987,4.615,5.0006794999999995,4.615,5.539859171260639
85,O=S(=O)(NCCCCN1CCCCCCC1)c1ccnc2ccccc12,-3.381,0.0,-3.4679352000000003,0.21909608294100605,3.381,3.4679352000000003,3.381,4.125223448823019
86,O=S(=O)(NCCCCN1CCOCC1)c1ccnc2ccccc12,-4.822,0.2687367410049923,-4.8457884,0.18862099092980716,4.822,4.8457884,5.628210223014976,5.4116513727894215
87,O=S(=O)(NCCCN1CCCCC1)c1ccnc2ccccc12,-4.863,0.21318880808891044,-4.7638059,0.23766177457991816,4.863,4.7638059,5.502566424266732,5.476791223739755
88,O=S(=O)(NCCN1CCCC1)c1ccnc2ccccc12,-4.732,0.0,-4.743265999999999,0.17459049490191023,4.732,4.743265999999999,4.732,5.26703748470573
89,O=S(=O)(NC[C@H]1CCCN1)c1ccnc2ccccc12,-4.841,0.0,-5.1501248,0.16361265467620292,4.841,5.1501248,4.841,5.640962764028609
90,O=S(=O)(N[C@@H]1C2CNC[C@@H]1C2)c1ccnc2ccccc12,-5.368,0.0,-5.1471580999999995,0.2536133291076388,5.368,5.1471580999999995,5.368,5.907998087322916
91,O=S(=O)(Nc1cccc2ncccc12)N1CCNCC1,-5.046,0.0,-5.0280754,0.1910173946607541,5.046,5.0280754,5.046,5.601127583982262
92,O=S(=O)(Nc1ccnc2ccccc12)C1CCNCC1,-5.168,0.0,-5.006467600000001,0.2167561945145355,5.168,5.006467600000001,5.168,5.656736183543607
93,O=S(=O)(c1c(F)ccc2cnccc12)N1CCCNCC1,-4.013,0.0011503039028698228,-3.6377517999999993,0.25461418279020287,4.013,3.6377517999999993,4.01645091170861,4.401594348370608
94,O=S(=O)(c1c(F)ccc2ncccc12)N1CCCNCC1,-3.887,0.03790077300495874,-3.6848199000000004,0.19122508568893246,3.887,3.6848199000000004,4.000702319014876,4.258495157066798
95,O=S(=O)(c1cc(Cl)cc2ncccc12)N1CCCNCC1,-3.77,0.0,-3.5659497,0.28692004199121945,3.77,3.5659497,3.77,4.426709825973658
96,O=S(=O)(c1cc(Cl)nc2ccccc12)N1CCNCC1,-4.973,0.0,-4.81671,0.2751807469199325,4.973,4.81671,4.973,5.642252240759797
97,O=S(=O)(c1cc(F)cc(F)c1)N1CCCNCC1,-3.788,0.0,-3.2299637999999997,0.2761322363926626,3.788,3.2299637999999997,3.788,4.058360509177987
98,O=S(=O)(c1cc(F)cc2ncccc12)N1CCCNCC1,-3.636,0.0,-3.6737536,0.2176532926577521,3.636,3.6737536,3.636,4.326713477973256
99,O=S(=O)(c1cc(F)nc2ccccc12)N1CCNCC1,-4.947,0.0013507978422093822,-4.9257329,0.276148028457033,4.947,4.9257329,4.951052393526628,5.754176985371099
100,O=S(=O)(c1cc2cc(Cl)ccc2o1)N1CCCNCC1,-3.977,0.01400472343503534,-3.5769314,0.24594850190182296,3.977,3.5769314,4.019014170305106,4.314776905705469
101,O=S(=O)(c1cc2ccccc2cn1)N1CCCNCC1,-3.712,0.011926054012334228,-3.6277820999999997,0.2721220109339947,3.712,3.6277820999999997,3.7477781620370028,4.444148132801984
102,O=S(=O)(c1cc2ccccc2s1)N1CCNCC1,-5.095,0.0,-4.784188800000001,0.25851757487161575,5.095,4.784188800000001,5.095,5.559741524614848
103,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCCNCC1,-3.477,0.0010708339378363628,-3.2278360000000004,0.20326796601028502,3.477,3.2278360000000004,3.480212501813509,3.8376398980308553
104,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCCNCCC1,-2.927,0.0,-3.0849042,0.2474420311568008,2.927,3.0849042,2.927,3.8272302934704023
105,O=S(=O)(c1ccc(Cl)cc1)N1CCNCC1,-4.845,0.0,-4.3039403,0.21953779321704747,4.845,4.3039403,4.845,4.962553679651142
106,O=S(=O)(c1ccc(F)c(Cl)c1)N1CCNCC1,-5.034,0.0,-4.4367749000000005,0.22950184602213305,5.034,4.4367749000000005,5.034,5.125280438066399
107,O=S(=O)(c1ccc(F)cc1)N1CCNCC1,-4.899,0.0,-4.2889345,0.20105532046105998,4.899,4.2889345,4.899,4.89210046138318
108,O=S(=O)(c1ccc2c(Br)cccc2c1)N1CCCC(N2CCCCC2)C1,-5.32,0.0,-5.7583675,0.23493063578471127,5.32,5.7583675,5.32,6.463159407354134
109,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCNCC1,-4.852,0.0,-4.640668799999999,0.1893890774675247,4.852,4.640668799999999,4.852,5.208836032402574
110,O=S(=O)(c1ccc2ccccc2n1)N1CCNCC1,-5.496,0.0,-5.1162251,0.19859688907840328,5.496,5.1162251,5.496,5.71201576723521
111,O=S(=O)(c1ccc2cccnc2c1)N1CCNCC1,-5.457,0.0,-5.0164995999999995,0.2116228568792222,5.457,5.0164995999999995,5.457,5.651368170637666
112,O=S(=O)(c1ccc2ncccc2c1)N1CCCN(CC2CC2)CC1,-4.028,0.0,-3.7277971000000005,0.2211839747442604,4.028,3.7277971000000005,4.028,4.391349024232782
113,O=S(=O)(c1ccc2ncccc2c1)N1CCCNCC1,-3.765,0.0,-3.5647624,0.20257524788867354,3.765,3.5647624,3.765,4.172488143666021
114,O=S(=O)(c1ccc2ncccc2c1)N1CCN(CC2CCCN2)CC1,-5.832,0.0,-5.4902785000000005,0.16914803782448085,5.832,5.4902785000000005,5.832,5.997722613473443
115,O=S(=O)(c1ccc2ncsc2c1)N1CCCNCC1,-3.628,0.0,-3.2486378,0.2311548626601777,3.628,3.2486378,3.628,3.9421023879805333
116,O=S(=O)(c1cccc(Cl)c1)N1CCN(C2CCCCC2)CC1,-5.718,0.0012425148500565144,-5.002838500000001,0.18916821314818041,5.718,5.002838500000001,5.72172754455017,5.570343139444542
117,O=S(=O)(c1cccc(F)c1)N1CCCNCC1,-3.331,0.023896049569923396,-3.2503628,0.28512417982866184,3.331,3.2503628,3.40268814870977,4.105735339485985
118,O=S(=O)(c1cccc2ccccc12)N1CCCNCC1,-3.967,0.0,-3.7093434000000003,0.24635673948381986,3.967,3.7093434000000003,3.967,4.44841361845146
119,O=S(=O)(c1cccc2cccnc12)N1CCCNCC1,-4.023,0.0,-3.4761641000000005,0.18675411810690254,4.023,3.4761641000000005,4.023,4.036426454320708
120,O=S(=O)(c1cccc2cccnc12)N1CCNCC1,-5.151,0.0,-4.8893471,0.14805142632370252,5.151,4.8893471,5.151,5.333501378971108
121,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,-3.735,0.0,-3.4869959000000006,0.2506064151347499,3.735,3.4869959000000006,3.735,4.23881514540425
122,O=S(=O)(c1cccc2cnccc12)N1CCNCC1,-5.072,0.0013507978422093825,-4.8369518000000005,0.2286490621605638,5.072,4.8369518000000005,5.076052393526628,5.5228989864816915
123,O=S(=O)(c1cccc2nc(Cl)ccc12)N1CCCNCCC1,-3.34,0.0,-3.5445653999999998,0.24039705422780358,3.34,3.5445653999999998,3.34,4.265756562683411
124,O=S(=O)(c1cccc2nc3ccccc3nc12)N1CCNCC1,-5.63,0.0,-5.3631541,0.1788590502771612,5.63,5.3631541,5.63,5.899731250831484
125,O=S(=O)(c1cccc2ncccc12)N1CCCN(C2CCC2)CC1,-3.95,0.0,-3.8022296,0.2112716566220258,3.95,3.8022296,3.95,4.436044569866077
126,O=S(=O)(c1cccc2ncccc12)N1CCCNCC1,-3.607,0.024968435460842278,-3.5177504,0.24263961024940475,3.607,3.5177504,3.681905306382527,4.245669230748215
127,O=S(=O)(c1cccc2ncccc12)N1CCNCC1,-5.071,0.0011503039028698228,-4.765592600000001,0.20940340489505369,5.071,4.765592600000001,5.07445091170861,5.393802814685162
128,O=S(=O)(c1cccc2ncccc12)N1CC[C@H]2CNC[C@H]2C1,-5.281,0.0,-5.2026808,0.18893457159467053,5.281,5.2026808,5.281,5.769484514784012
129,O=S(=O)(c1cccc2ncncc12)N1CCNCC1,-4.664,0.0,-4.669234200000002,0.14746939907191897,4.664,4.669234200000002,4.664,5.111642397215759
130,O=S(=O)(c1ccnc2c(Cl)cccc12)N1CCCNCC1,-3.909,0.021980488508741694,-3.6284995,0.2126641187015658,3.909,3.6284995,3.974941465526225,4.266491856104698
131,O=S(=O)(c1ccnc2c(Cl)cccc12)N1CCNCC1,-5.137,0.0014797559834649205,-4.7627306,0.2164362529205446,5.137,4.7627306,5.141439267950394,5.412039358761634
132,O=S(=O)(c1ccnc2cc(Cl)ccc12)N1CC(N2CCCCC2)C1,-5.408,0.0,-5.1505508,0.17289776077812397,5.408,5.1505508,5.408,5.669244082334372
133,O=S(=O)(c1ccnc2ccc(Cl)cc12)N1CCCNCC1,-3.835,0.03486256182513407,-3.5213392000000003,0.2395047420038216,3.835,3.5213392000000003,3.939587685475402,4.239853426011465
134,O=S(=O)(c1ccnc2ccc(Cl)cc12)N1CCNCC1,-4.99,0.0,-4.8488727,0.16232917665604502,4.99,4.8488727,4.99,5.3358602299681355
135,O=S(=O)(c1ccnc2ccccc12)C1CCNCC1,-4.993,0.0,-4.8649071,0.23419853312188293,4.993,4.8649071,4.993,5.567502699365649
136,O=S(=O)(c1ccnc2ccccc12)N1CC(N2CCCNCC2)C1,-3.998,0.011102129923245387,-3.9768759000000005,0.1939645508099047,3.998,3.9768759000000005,4.031306389769736,4.558769552429714
137,O=S(=O)(c1ccnc2ccccc12)N1CCC(CSc2n[nH]c(=S)s2)CC1,-5.349,0.0202010558774953,-5.469205700000001,0.19665507870051444,5.349,5.469205700000001,5.409603167632486,6.059170936101544
138,O=S(=O)(c1ccnc2ccccc12)N1CCC1,-4.465,0.0,-4.3631196,0.26194468124359027,4.465,4.3631196,4.465,5.148953643730771
139,O=S(=O)(c1ccnc2ccccc12)N1CCC2(CCNCC2)C1,-5.632,0.0,-5.3845035999999995,0.18668221042584304,5.632,5.3845035999999995,5.632,5.944550231277528
140,O=S(=O)(c1ccnc2ccccc12)N1CCCC(N2CCNCC2)C1,-5.761,0.0,-5.658975400000001,0.16870448093958382,5.761,5.658975400000001,5.761,6.1650888428187525
141,O=S(=O)(c1ccnc2ccccc12)N1CCCC1,-4.729,0.0,-4.6707744,0.23068939846912215,4.729,4.6707744,4.729,5.362842595407367
142,O=S(=O)(c1ccnc2ccccc12)N1CCCCC1,-4.904,0.0,-4.6933156,0.22860814259316017,4.904,4.6933156,4.904,5.3791400277794805
143,O=S(=O)(c1ccnc2ccccc12)N1CCCN(C2CCCCCC2)CC1,-3.41,0.0,-3.1310958999999996,0.2471307853290154,3.41,3.1310958999999996,3.41,3.8724882559870455
144,O=S(=O)(c1ccnc2ccccc12)N1CCCNC(CO)C1,-3.819,0.0,-3.7206959000000004,0.2538878941560457,3.819,3.7206959000000004,3.819,4.4823595824681375
145,O=S(=O)(c1ccnc2ccccc12)N1CCCNCCC1,-3.477,0.03227530111987651,-3.3823540000000003,0.25324064746390773,3.477,3.3823540000000003,3.5738259033596296,4.142075942391724
146,O=S(=O)(c1ccnc2ccccc12)N1CCN(CC(F)(F)F)CC1,-5.48,0.0,-5.0156889,0.17805565572942955,5.48,5.0156889,5.48,5.549855867188288
147,O=S(=O)(c1ccnc2ccccc12)N1CCN(CCF)CC1,-5.143,0.015341728164052434,-4.720753200000001,0.26338236122562086,5.143,4.720753200000001,5.189025184492157,5.510900283676864
148,O=S(=O)(c1ccnc2ccccc12)N1CCNC(CF)C1,-5.261,0.0,-4.9689149,0.2182129952437117,5.261,4.9689149,5.261,5.623553885731135
149,O=S(=O)(c1ccnc2ccccc12)N1CCNC(c2ccccn2)C1,-6.446,0.01288207331639238,-5.6700153,0.22913646004848456,6.446,5.6700153,6.484646219949177,6.357424680145454
150,O=S(=O)(c1ccnc2ccccc12)N1CCNCC1,-5.219,0.0012425148500565144,-4.895111100000001,0.23684736579053367,5.219,4.895111100000001,5.22272754455017,5.605653197371602
151,O=S(=O)(c1ccnc2ccccc12)N1CCOCC1,-4.807,0.0,-4.6502168,0.27659034924375486,4.807,4.6502168,4.807,5.479987847731264
152,O=S(=O)(c1ccnc2ccccc12)N1CC[C@@H](N2CCCC2)C1,-5.592,0.0,-5.1534695,0.23978355179040323,5.592,5.1534695,5.592,5.87282015537121
153,O=S(=O)(c1ccnc2ccccc12)[C@H]1CNC[C@@H](F)C1,-5.136,0.0,-4.964910099999999,0.22328020258327463,5.136,4.964910099999999,5.136,5.634750707749823
